City_ID,City,Country,Max Temp,Conditions,Lat,Lng,Hotel Name
518,Turayf,SA,81.34,clear sky,31.6725,38.6637,Al Mudawah Hotel
522,Ouallam,NE,85.91,light rain,14.3188,2.0866,
523,Kulhudhuffushi,MV,81.79,overcast clouds,6.6221,73.07,Haajy Guest House 1
525,Neiafu,TO,77.68,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
526,High Rock,BS,84.22,clear sky,26.6208,-78.2833,Hideaway Bahamas Beach Club
527,French Harbor,HN,83.07,broken clouds,16.35,-86.4333,"Fantasy Island Beach Resort, Dive & Marina"
529,New Milford,US,77.47,clear sky,40.9327,-74.0179,Courtyard by Marriott Paramus
531,Quelimane,MZ,76.95,clear sky,-17.8786,36.8883,Hotel Flamingo
543,Lusambo,CD,76.84,overcast clouds,-4.9667,23.45,
549,Madang,PG,76.95,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
552,Paciran,ID,78.58,overcast clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
554,Kuliyapitiya,LK,75.27,overcast clouds,7.4688,80.0401,Rest House
557,Alice,US,86.56,broken clouds,27.7523,-98.0697,"Holiday Inn Express & Suites Alice, an IHG Hotel"
561,San Ramon De La Nueva Oran,AR,87.42,scattered clouds,-23.1322,-64.326,Hotel Residencial Centro
564,Malakal,SS,76.64,light rain,9.5334,31.6605,Nile Palace Hotel
567,West Odessa,US,77.05,clear sky,31.8424,-102.4988,Corporate Mobile Housing
569,Kolondieba,ML,81.79,broken clouds,11.0882,-6.8926,Park
576,Hasilpur,PK,81.79,clear sky,29.7122,72.5553,"Masjid Noor, Tahir Colony, Purana Hasilpur"
578,Natal,BR,86.22,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
585,Elizabeth City,US,78.82,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
586,Mecca,SA,87.73,broken clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
587,Vanimo,PG,77.2,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
591,Maragogi,BR,80.26,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
593,Biloxi,US,83.08,broken clouds,30.396,-88.8853,IP Casino Resort Spa
594,Tecoanapa,MX,84.24,overcast clouds,16.5167,-98.75,Hotel Manglares
595,Carutapera,BR,86.18,broken clouds,-1.195,-46.02,Lidera
596,Garhi Khairo,PK,83.17,clear sky,28.0606,67.9803,Bandh Ali Hotel
599,Vila Do Maio,CV,86.79,scattered clouds,15.1333,-23.2167,Hotel Marilu
600,Saint-Georges,GD,76.68,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
601,Sohag,EG,83.75,clear sky,26.557,31.6948,Civil Registry - Sohag 1
602,De Land,US,84.15,clear sky,29.0283,-81.3031,Comfort Inn & Suites DeLand - near University
608,Ilheus,BR,82.22,few clouds,-14.7889,-39.0494,Barravento Hotel
609,Sabha,LY,77.38,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
611,Jibuti,DJ,82.72,overcast clouds,11.5,42.5,Orchid Main Camp Goubet
613,Sinnamary,GF,86.0,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
615,Ardmore,US,87.31,clear sky,34.1743,-97.1436,"Motel 6 Ardmore, OK"
617,Gibara,CU,87.12,broken clouds,21.1097,-76.1317,Sol y Mar
621,Port-Gentil,GA,78.76,broken clouds,-0.7193,8.7815,Fengshui Residence
622,Phangnga,TH,77.04,overcast clouds,8.4509,98.5298,Sunimit Mansion
624,Soyo,AO,77.0,broken clouds,-6.1349,12.3689,Hospedaria ndozi'ame
627,Beterou,BJ,75.61,light rain,9.1992,2.2586,Monastère de Kokoubou
629,Broome,US,75.42,clear sky,42.2506,-75.833,Chenango Valley State Park
635,Pandan,PH,79.83,overcast clouds,14.0453,124.1694,Bonifacio Lodge
636,Las Lomas,PA,83.5,overcast clouds,8.4333,-82.4,Hotel Castilla
637,Magomeni,TZ,75.22,scattered clouds,-6.8,39.25,Protea Hotel by Marriott Dar es Salaam Courtyard
640,Sabang,ID,76.89,moderate rain,5.8933,95.3214,Hotel Citra
642,Razole,IN,78.37,overcast clouds,16.4833,81.8333,Sterling Palavelli Godavari
643,Kalemie,CD,77.56,broken clouds,-5.9475,29.1947,Mahobilali
644,Warri,NG,75.7,light rain,5.5167,5.75,GT Guesthouse
649,Abu Dhabi,AE,87.91,few clouds,24.4667,54.3667,Beach Rotana
652,Majalengka,ID,75.65,overcast clouds,-6.8361,108.2278,Rudin BRI
653,Avera,US,82.54,clear sky,33.194,-82.5271,
654,Nioro,GM,86.7,light rain,13.35,-15.75,
658,Manggar,ID,77.9,heavy intensity rain,-2.8833,108.2667,Guest Hotel
659,Prado,BR,80.69,overcast clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
660,Pochutla,MX,89.82,few clouds,15.7432,-96.4661,Hotel Posada San Jose
661,Tibu,CO,78.85,overcast clouds,8.639,-72.7358,Hotel Yuliana's
662,Safford,US,75.11,clear sky,32.834,-109.7076,SpringHill Suites by Marriott Thatcher
665,Ayame,CI,75.94,broken clouds,5.6083,-3.1563,Hotel Bossan
669,Iranshahr,IR,86.34,clear sky,27.2025,60.6848,نیک سرشت
673,Dunyapur,PK,81.46,clear sky,29.7995,71.7196,Ghulam Abbas House
679,Abnub,EG,81.43,clear sky,27.2696,31.1511,دوار ال عبد الجواد شرق البلد بابنوب
681,Sechura,PE,76.12,few clouds,-5.5569,-80.8222,Hospedaje Costa Bella
682,Kutoarjo,ID,75.42,overcast clouds,-7.7169,109.9128,Massagus Hotel
685,Fare,PF,77.92,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
687,Boueni,YT,76.98,clear sky,-12.9025,45.0761,The feet in water
690,Veraval,IN,81.66,scattered clouds,20.9,70.3667,Lords Inn Somnath
691,Palauig,PH,80.35,overcast clouds,15.435,119.9045,Villa Raphael Resort
696,Kalmunai,LK,81.68,overcast clouds,7.4167,81.8167,VS Villa
