City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Conditions
112,Ust-Nera,RU,64.5667,143.2,3.7,97,94,2.98,overcast clouds
113,Mtwara,TZ,-10.2667,40.1833,73.67,79,3,7.49,clear sky
114,Honningsvag,NO,70.9821,25.9704,44.35,87,75,14.97,broken clouds
115,Rawson,AR,-43.3002,-65.1023,63.19,30,1,19.48,clear sky
116,Hasaki,JP,35.7333,140.8333,54.28,77,100,17.58,overcast clouds
117,Westport,US,41.1415,-73.3579,76.44,56,5,1.01,clear sky
118,Puerto Del Rosario,ES,28.5004,-13.8627,76.75,57,20,16.11,few clouds
119,Lebu,CL,-37.6167,-73.65,52.79,96,100,9.13,overcast clouds
120,Isangel,VU,-19.55,169.2667,74.3,88,99,11.95,overcast clouds
121,Svetlyy,RU,54.675,20.1347,55.45,71,0,19.1,clear sky
122,Pevek,RU,69.7008,170.3133,28.42,95,100,30.24,snow
123,Colesberg,ZA,-30.72,25.0972,73.29,7,51,11.39,broken clouds
124,Dawei,MM,14.0833,98.2,75.81,92,99,3.78,overcast clouds
125,Wahiawa,US,21.5028,-158.0236,76.19,82,56,4.83,broken clouds
126,Chuy,UY,-33.6971,-53.4616,61.0,97,100,5.93,moderate rain
127,Caravelas,BR,-17.7125,-39.2481,83.26,55,91,8.84,overcast clouds
128,Mitu,CO,1.1983,-70.1733,92.61,45,85,1.68,overcast clouds
129,Tombouctou,ML,20.0,-3.0,99.18,13,31,8.7,scattered clouds
130,Poronaysk,RU,49.2167,143.1167,35.17,66,7,8.48,clear sky
131,Villanueva,HN,15.3167,-88.0,84.83,63,73,5.84,broken clouds
132,The Valley,AI,18.217,-63.0578,85.1,75,13,17.6,few clouds
133,Nuuk,GL,64.1835,-51.7216,34.41,80,75,1.14,broken clouds
134,Ponta Delgada,PT,37.7333,-25.6667,72.32,73,20,12.66,few clouds
135,Namikupa,TZ,-10.8333,39.6,69.66,75,2,5.12,clear sky
136,Airai,TL,-8.9266,125.4092,60.44,90,89,2.51,overcast clouds
137,Emerald,AU,-23.5333,148.1667,62.35,86,1,12.44,clear sky
138,Acari,PE,-15.4311,-74.6158,75.31,48,37,10.56,scattered clouds
139,Port Lincoln,AU,-34.7333,135.8667,52.97,71,0,11.5,clear sky
140,Pavilosta,LV,56.8879,21.1859,57.11,76,0,25.81,clear sky
141,Nishihara,JP,26.1842,127.7558,78.08,83,1,6.91,clear sky
142,San Cristobal,VE,7.7669,-72.225,79.41,62,100,5.35,overcast clouds
143,Novyy Starodub,UA,48.5158,33.1733,57.6,48,53,7.92,broken clouds
144,Norman Wells,CA,65.282,-126.8329,44.85,63,43,4.52,scattered clouds
145,Clarksburg,US,39.2807,-80.3445,71.71,65,68,6.06,broken clouds
146,Hofn,IS,64.2539,-15.2082,44.29,64,76,10.45,broken clouds
147,Mujiayingzi,CN,42.1167,118.7833,38.71,31,0,6.4,clear sky
148,Fortuna,US,40.5982,-124.1573,55.74,52,78,3.78,broken clouds
149,Northam,GB,51.0333,-4.2167,59.25,87,20,16.8,few clouds
150,Qaanaaq,GL,77.484,-69.3632,15.08,89,100,7.38,overcast clouds
151,Riyadh,SA,24.6877,46.7219,86.14,12,0,6.64,clear sky
152,Inhambane,MZ,-23.865,35.3833,73.89,87,0,13.11,clear sky
153,Eyl,SO,7.9803,49.8164,79.11,76,72,19.48,broken clouds
154,Sibolga,ID,1.7427,98.7792,75.09,92,100,2.35,overcast clouds
155,Saldanha,ZA,-33.0117,17.9442,59.92,85,15,11.12,few clouds
156,Tiksi,RU,71.6872,128.8694,19.27,87,100,25.46,overcast clouds
157,Vila,PT,42.0304,-8.1588,67.69,57,11,2.73,few clouds
158,Guhagar,IN,17.4842,73.1929,77.02,88,100,3.44,overcast clouds
159,Lorengau,PG,-2.0226,147.2712,80.26,82,100,9.93,overcast clouds
160,Berdigestyakh,RU,62.0989,126.6992,19.4,91,100,8.14,overcast clouds
161,Ukiah,US,39.1502,-123.2078,82.65,45,91,2.42,overcast clouds
162,Nemuro,JP,43.3236,145.575,49.73,68,70,9.06,broken clouds
163,College,US,64.8569,-147.8028,48.9,84,97,3.53,overcast clouds
164,Torbay,CA,47.6666,-52.7314,61.16,85,99,5.01,overcast clouds
165,Ilulissat,GL,69.2167,-51.1,24.93,63,100,4.05,overcast clouds
166,New Norfolk,AU,-42.7826,147.0587,56.7,78,100,1.63,moderate rain
167,Cameta,BR,-2.2444,-49.4958,92.79,46,51,6.2,broken clouds
168,Dukat,RU,62.55,155.55,13.8,94,100,11.68,light snow
169,Grand Gaube,MU,-20.0064,57.6608,72.37,67,48,8.01,scattered clouds
170,Coihaique,CL,-45.5752,-72.0662,46.44,68,98,11.16,overcast clouds
171,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,92,20,14.97,few clouds
172,Port Pirie,AU,-33.1833,138.0167,57.29,92,100,10.42,overcast clouds
173,Bara,NG,10.3744,10.7288,75.9,73,100,3.65,overcast clouds
174,Yerbogachen,RU,61.2767,108.0108,28.22,92,97,2.86,overcast clouds
175,Castro,BR,-24.7911,-50.0119,66.18,92,100,1.21,overcast clouds
176,Baoning,CN,25.3378,110.026,61.61,73,96,4.97,overcast clouds
177,Deputatskiy,RU,69.3,139.9,6.44,93,45,8.93,scattered clouds
178,Saskylakh,RU,71.9167,114.0833,18.23,91,100,16.42,overcast clouds
179,Poum,NC,-20.2333,164.0167,74.53,66,59,8.99,broken clouds
180,Southbridge,US,42.0751,-72.0334,74.43,66,5,3.11,clear sky
181,Kuching,MY,1.55,110.3333,77.22,94,40,0.0,light rain
182,Yellowknife,CA,62.456,-114.3525,46.56,65,73,8.01,broken clouds
183,Gimli,CA,50.6336,-96.9907,38.55,56,88,14.74,overcast clouds
184,Port Hardy,CA,50.6996,-127.4199,58.78,88,55,2.66,broken clouds
185,Saryg-Sep,RU,51.5,95.6,32.23,80,100,2.77,overcast clouds
186,Whitianga,NZ,-36.8333,175.7,40.6,63,0,4.16,clear sky
187,Hilo,US,19.7297,-155.09,84.27,81,88,6.42,overcast clouds
188,Dudinka,RU,69.4058,86.1778,28.02,85,100,9.75,overcast clouds
189,Guerrero Negro,MX,27.9769,-114.0611,73.62,71,40,10.07,scattered clouds
190,Alugan,PH,12.2188,125.4808,80.87,81,99,2.8,overcast clouds
191,Oriximina,BR,-1.7656,-55.8661,100.38,26,73,9.75,broken clouds
192,Padang,ID,-0.9492,100.3543,71.65,91,100,4.72,light rain
193,Butaritari,KI,3.0707,172.7902,81.61,77,23,16.69,light rain
194,Esperance,AU,-33.8667,121.9,54.68,61,100,13.67,overcast clouds
195,Totness,SR,5.8833,-56.3167,87.12,64,19,12.44,few clouds
196,Broken Hill,AU,-31.95,141.4333,58.82,76,99,17.45,light rain
197,Beringovskiy,RU,63.05,179.3167,38.88,72,6,30.09,clear sky
198,Kaeo,NZ,-35.1,173.7833,44.33,93,7,3.67,clear sky
199,East London,ZA,-33.0153,27.9116,64.69,70,94,9.04,overcast clouds
200,Belyy Yar,RU,53.6039,91.3903,33.69,81,0,4.47,clear sky
201,Kudahuvadhoo,MV,2.6708,72.8944,81.5,77,75,17.96,broken clouds
202,Mahebourg,MU,-20.4081,57.7,72.25,71,56,15.3,broken clouds
203,Teguldet,RU,57.3064,88.1667,29.44,93,87,3.04,overcast clouds
204,Tezu,IN,27.9167,96.1667,72.75,97,99,4.0,overcast clouds
205,Iralaya,HN,15.0,-83.2333,82.45,81,83,9.22,broken clouds
206,Hambantota,LK,6.1241,81.1185,78.64,80,100,15.86,overcast clouds
